Tradition,Key theorist(s),Mechanism described,Temporal implication,Survives evidence critique?
Self psychology,Kohut (1984),Transmuting internalisation — thousands of cycles of empathic attunement; optimal frustration; and repair,Thousands of cycles; cannot be compressed,Yes — no neuroscientific claim
Object relations,Winnicott (1965),Regression to dependence and resumed maturation,Developmental time; by definition not compressible,Yes — developmental psychology
Relational psychoanalysis,Bromberg (1998),Expanding capacity to stand in the spaces between dissociated self-states,Gradual expansion; incremental,Yes — clinical phenomenology
Intersubjectivity theory,Benjamin (1988),Repeated recognition-destruction-survival cycles,Incremental accumulation,Yes — relational process theory
Mentalization theory,Fonagy (2002),Experiential learning of mentalizing capacity through attachment,Attachment-paced; develops through relationship,Yes — empirically grounded (MBT outcome data)
Phase-oriented treatment (Janet tradition),"Steele (2001); Van der Hart (2006)",Development of secure dependency on a relational timeline,Relational timeline; sequential and non-compressible,Yes — clinical observation + Janet (1897/98)
Affect regulation neuroscience,"Schore (2000, 2021)",Experience-dependent right-hemisphere maturation,Neural maturation pace; experience-dependent,Partially — observations robust; specific lateralisation claims contested
Polyvagal theory,Porges (2022),"Autonomic reorganisation from chronic defensive states toward ventral vagal flexibility","Slow, sequential reorganisation",No — polyvagal theory described as untenable or highly implausible (Grossman critique via Tilson 2025)
Neurosequential model,Perry & Hambrick (2019),Bottom-up sequential brain reorganisation requiring patterned repetitive experiences,Sequential; each level requires its own duration,Partially — triune brain debunked; Perry retains hierarchy as clinical framework
Implicit process research,BCPSG (2010),"Accumulation of moments of meeting in implicit relational knowing","Many small shifts; inherently cumulative",Yes — empirical (microprocess research)
Sensorimotor processing,Ogden (2006),"Hierarchical processing with bite-sizing — sensorimotor memories closer to read-only memory",Slower than cognitive change; small pieces at a time,Partially — hierarchy as clinical metaphor; Fisher's bite-sizing is clinical observation
